Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Malaysia,Netherlands,tied,-,Kirtipur,"Apr 21, 2021",T20I # 1153
Nepal,Netherlands,Netherlands,3 wickets,Kirtipur,"Apr 20, 2021",T20I # 1152
Nepal,Malaysia,Nepal,9 wickets,Kirtipur,"Apr 19, 2021",T20I # 1151
Malaysia,Netherlands,Netherlands,15 runs,Kirtipur,"Apr 18, 2021",T20I # 1150
Nepal,Netherlands,Nepal,9 wickets,Kirtipur,"Apr 17, 2021",T20I # 1149
South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 16, 2021",T20I # 1148
South Africa,Pakistan,Pakistan,9 wickets,Centurion,"Apr 14, 2021",T20I # 1147
South Africa,Pakistan,South Africa,6 wickets,Johannesburg,"Apr 12, 2021",T20I # 1146
South Africa,Pakistan,Pakistan,4 wickets,Johannesburg,"Apr 10, 2021",T20I # 1145
Namibia,Uganda,Namibia,65 runs,Windhoek,"Apr 5, 2021",T20I # 1144
Namibia,Uganda,Namibia,20 runs,Windhoek,"Apr 5, 2021",T20I # 1143
Namibia,Uganda,Namibia,7 wickets,Windhoek,"Apr 3, 2021",T20I # 1142
New Zealand,Bangladesh,New Zealand,65 runs,Auckland,"Apr 1, 2021",T20I # 1141
New Zealand,Bangladesh,New Zealand,28 runs,Napier,"Mar 30, 2021",T20I # 1140
New Zealand,Bangladesh,New Zealand,66 runs,Hamilton,"Mar 28, 2021",T20I # 1139
India,England,India,36 runs,Ahmedabad,"Mar 20, 2021",T20I # 1138
Afghanistan,Zimbabwe,Afghanistan,47 runs,Abu Dhabi,"Mar 20, 2021",T20I # 1137
Afghanistan,Zimbabwe,Afghanistan,45 runs,Abu Dhabi,"Mar 19, 2021",T20I # 1136
India,England,India,8 runs,Ahmedabad,"Mar 18, 2021",T20I # 1135
Afghanistan,Zimbabwe,Afghanistan,48 runs,Abu Dhabi,"Mar 17, 2021",T20I # 1134
India,England,England,8 wickets,Ahmedabad,"Mar 16, 2021",T20I # 1133
India,England,India,7 wickets,Ahmedabad,"Mar 14, 2021",T20I # 1132
India,England,England,8 wickets,Ahmedabad,"Mar 12, 2021",T20I # 1131
West Indies,Sri Lanka,West Indies,3 wickets,Coolidge,"Mar 7, 2021",T20I # 1130
New Zealand,Australia,New Zealand,7 wickets,Wellington,"Mar 7, 2021",T20I # 1129
West Indies,Sri Lanka,Sri Lanka,43 runs,Coolidge,"Mar 5, 2021",T20I # 1128
New Zealand,Australia,Australia,50 runs,Wellington,"Mar 5, 2021",T20I # 1127
West Indies,Sri Lanka,West Indies,4 wickets,Coolidge,"Mar 3, 2021",T20I # 1126
New Zealand,Australia,Australia,64 runs,Wellington,"Mar 3, 2021",T20I # 1125
New Zealand,Australia,New Zealand,4 runs,Dunedin,"Feb 25, 2021",T20I # 1124
New Zealand,Australia,New Zealand,53 runs,Christchurch,"Feb 22, 2021",T20I # 1123
Pakistan,South Africa,Pakistan,4 wickets,Lahore,"Feb 14, 2021",T20I # 1122
Pakistan,South Africa,South Africa,6 wickets,Lahore,"Feb 13, 2021",T20I # 1121
Pakistan,South Africa,Pakistan,3 runs,Lahore,"Feb 11, 2021",T20I # 1120
